Term,Freq
2004,0.25
年,0.25
以来,0.25
全国,0.25
接连,0.25
连发,0.25
发生,0.25
生了,0.25
多起,0.25
起重,0.25
大,0.5
重大,0.5
大安,0.25
安全,0.75
生产,1.0
事故,0.25
形势,0.25
相当,0.25
严峻,0.25
引起,0.25
起了,0.25
和政,0.25
政府,0.25
党和政府,0.25
高度,0.25
重视,0.5
社会,0.25
各界,0.25
广泛,0.25
关注,0.25
具有,0.25
大的,0.25
经济,0.75
意义,0.25
即有,0.25
有利,1.0
利于,1.0
避免,0.25
有限,0.25
资源,0.75
破坏,0.25
浪费,0.25
提高,0.5
利用,0.25
利用率,0.25
保证,0.25
健康,0.25
发展,0.25
顺利,0.25
进行,0.25
树立,0.25
企业,0.25
良好,0.25
好的,0.25
信誉,0.25
形象,0.25
促进,0.25
效益,0.25
保障,0.25
劳动,0.5
劳动者,0.25
合法,0.5
合法的,0.25
法权,0.25
权益,0.25
保护,0.25
动力,0.25
